Date,FTSE100,FTSEALL,Relevance,Relevance_lead1,Relevance_lead2,Relevance_lead3,relevance_rolling
2009-04-14,3988.99,2043.86,0,0.0,0.0,0.0,0.0
2009-04-15,3968.4,2033.91,0,0.0,0.0,0.0,0.0
2009-04-16,4052.98,2075.6,0,0.0,0.0,0.0,0.0
2009-04-17,4092.8,2096.6,0,0.0,0.0,0.0,0.0
2009-04-20,3990.86,2041.24,0,0.0,0.0,0.0,0.0
2009-04-21,3987.46,2038.38,0,0.0,0.0,0.0,0.0
2009-04-22,4030.66,2063.52,0,0.0,0.0,0.0,0.0
2009-04-23,4018.23,2059.08,0,0.0,0.0,0.0,0.0
2009-04-24,4155.99,2127.37,0,0.0,0.0,0.0,0.0
2009-04-27,4167.01,2128.84,0,0.0,0.0,5.0,0.0
2009-04-28,4096.4,2093.13,0,0.0,5.0,0.0,0.0
2009-04-29,4189.59,2142.42,0,5.0,0.0,0.0,0.0
2009-04-30,4243.71,2173.06,5,0.0,0.0,0.0,1.6666666666666667
2009-05-01,4243.22,2174.64,0,0.0,0.0,0.0,1.6666666666666667
2009-05-04,4243.22,2174.64,0,0.0,0.0,0.0,0.0
2009-05-05,4336.94,2226.6,0,0.0,0.0,9.0,0.0
2009-05-06,4396.49,2254.16,0,0.0,9.0,7.0,0.0
2009-05-07,4398.68,2252.36,0,9.0,7.0,7.0,0.0
2009-05-08,4462.09,2281.46,9,7.0,7.0,16.0,3.0
2009-05-11,4435.5,2262.67,16,20.0,14.0,14.0,10.0
2009-05-12,4425.54,2258.45,20,14.0,14.0,29.0,14.333333333333334
2009-05-13,4331.37,2206.29,14,14.0,29.0,15.0,16.666666666666668
2009-05-14,4362.58,2222.28,14,29.0,15.0,18.0,16.0
2009-05-15,4348.11,2217.48,29,15.0,18.0,11.0,19.0
2009-05-18,4446.45,2264.48,11,13.0,13.0,11.0,14.666666666666666
2009-05-19,4482.25,2285.23,13,13.0,11.0,13.0,14.0
2009-05-20,4468.41,2280.7,13,11.0,13.0,7.0,12.333333333333334
2009-05-21,4345.47,2218.25,11,13.0,7.0,0.0,12.333333333333334
2009-05-22,4365.29,2227.98,13,7.0,0.0,12.0,12.333333333333334
2009-05-25,4365.29,2227.98,12,4.0,4.0,4.0,6.333333333333333
2009-05-26,4411.72,2247.79,4,4.0,4.0,0.0,5.333333333333333
2009-05-27,4416.23,2251.9,4,4.0,0.0,8.0,6.666666666666667
2009-05-28,4387.54,2237.17,4,0.0,8.0,0.0,4.0
2009-05-29,4417.94,2252.64,0,8.0,0.0,5.0,2.6666666666666665
2009-06-01,4506.19,2298.13,5,9.0,8.0,5.0,4.333333333333333
2009-06-02,4477.02,2286.26,9,8.0,5.0,5.0,4.666666666666667
2009-06-03,4383.42,2242.2,8,5.0,5.0,0.0,7.333333333333333
2009-06-04,4386.94,2242.56,5,5.0,0.0,0.0,7.333333333333333
2009-06-05,4438.56,2268.69,5,0.0,0.0,0.0,6.0
2009-06-08,4405.22,2251.85,0,0.0,0.0,0.0,0.0
2009-06-09,4404.79,2251.79,0,0.0,0.0,5.0,0.0
2009-06-10,4436.75,2267.51,0,0.0,5.0,0.0,0.0
2009-06-11,4461.87,2279.7,0,5.0,0.0,6.0,0.0
2009-06-12,4441.95,2268.71,5,0.0,6.0,0.0,1.6666666666666667
2009-06-15,4326.01,2210.02,0,0.0,0.0,100.0,2.0
2009-06-16,4328.57,2210.64,0,0.0,100.0,35.0,2.0
2009-06-17,4278.46,2181.73,0,100.0,35.0,11.0,0.0
2009-06-18,4280.86,2179.78,100,35.0,11.0,17.0,33.333333333333336
2009-06-19,4345.93,2211.91,35,11.0,17.0,7.0,45.0
2009-06-22,4234.05,2156.49,7,6.0,0.0,0.0,11.666666666666666
2009-06-23,4230.02,2155.11,6,0.0,0.0,0.0,10.0
2009-06-24,4279.98,2181.64,0,0.0,0.0,0.0,4.333333333333333
2009-06-25,4252.57,2170.4,0,0.0,0.0,0.0,2.0
2009-06-26,4241.01,2167.29,0,0.0,0.0,0.0,0.0
2009-06-29,4294.03,2194.11,0,0.0,0.0,,0.0
2009-06-30,4249.21,2172.08,0,0.0,,,0.0
2009-07-01,4340.71,2215.78,0,,,,0.0
