Date,industrial_ord,all_share
01/06/1963,,
02/06/1963,,
03/06/1963,,
04/06/1963,312.3,99.73
05/06/1963,310.9,99.46
06/06/1963,311,99.24
07/06/1963,309.6,98.7
08/06/1963,,
09/06/1963,,
10/06/1963,302.6,96.87
11/06/1963,307.2,97.83
12/06/1963,305.8,97.44
13/06/1963,303.7,96.88
14/06/1963,304.7,97.17
15/06/1963,,
16/06/1963,,
17/06/1963,309.4,98.04
18/06/1963,308.7,98.05
19/06/1963,307.2,97.76
20/06/1963,308.7,97.84
21/06/1963,308.3,97.9
22/06/1963,,
23/06/1963,,
24/06/1963,308.4,98.23
25/06/1963,308.5,98.18
26/06/1963,307.5,98.12
27/06/1963,307.3,98.17
28/06/1963,309.4,98.09
29/06/1963,,
30/06/1963,,
01/07/1963,309.5,98.42
02/07/1963,309.4,98.37
03/07/1963,310.6,98.67
04/07/1963,311.6,98.75
05/07/1963,311.8,98.95
06/07/1963,,
07/07/1963,,
08/07/1963,312,98.91
09/07/1963,311.8,98.61
10/07/1963,312.5,98.74
11/07/1963,312.3,98.81
12/07/1963,311.8,98.63
13/07/1963,,
14/07/1963,,
15/07/1963,313.2,98.95
16/07/1963,313.8,99.03
17/07/1963,315.2,99.38
18/07/1963,316.5,99.53
19/07/1963,315.5,99.34
20/07/1963,,
21/07/1963,,
22/07/1963,314.9,99.55
23/07/1963,314.9,99.51
24/07/1963,314.9,99.37
25/07/1963,315.3,99.65
26/07/1963,315.6,99.92
27/07/1963,,
28/07/1963,,
29/07/1963,313.4,99.33
30/07/1963,312,99.15
31/07/1963,312.9,99.34
01/08/1963,312.7,99.51
02/08/1963,315.3,100.09
03/08/1963,,
04/08/1963,,
05/08/1963,,
06/08/1963,318.6,109.97
07/08/1963,320.3,101.35
08/08/1963,321.1,101.35
09/08/1963,322.3,101.61
10/08/1963,,
11/08/1963,,
12/08/1963,321.5,101.64
13/08/1963,320.4,101.49
14/08/1963,320.4,101.67
15/08/1963,320.4,101.67
16/08/1963,320.3,101.69
17/08/1963,,
18/08/1963,,
19/08/1963,320,101.77
20/08/1963,320.5,102.13
21/08/1963,321.9,102.59
22/08/1963,324,103.1
23/08/1963,325.3,103.36
24/08/1963,,
25/08/1963,,
26/08/1963,324.8,103.49
27/08/1963,324.2,103.18
28/08/1963,324.2,103.08
29/08/1963,324.8,103.28
30/08/1963,325.4,103.29
31/08/1963,,
01/09/1963,,
02/09/1963,326.4,103.36
03/09/1963,328,103.69
04/09/1963,329.8,104.03
05/09/1963,329.3,104.05
06/09/1963,328,103.93
07/09/1963,,
08/09/1963,,
09/09/1963,326.1,103.57
10/09/1963,324.9,103.34
11/09/1963,323.8,103.05
12/09/1963,324.3,103.08
13/09/1963,323.4,102.91
14/09/1963,,
15/09/1963,,
16/09/1963,324.1,103.05
17/09/1963,325,103.17
18/09/1963,326,103.12
19/09/1963,327.7,103.34
20/09/1963,327.9,103.6
21/09/1963,,
22/09/1963,,
23/09/1963,326.2,103.35
24/09/1963,327,103.73
25/09/1963,327.1,103.96
26/09/1963,326.5,103.81
27/09/1963,326.8,104
28/09/1963,,
29/09/1963,,
30/09/1963,326.6,103.84
01/10/1963,327.7,103.75
02/10/1963,330.1,104.03
03/10/1963,332.4,104.21
04/10/1963,333.8,104.67
05/10/1963,,
06/10/1963,,
07/10/1963,332.7,104.52
08/10/1963,331.8,104.26
09/10/1963,332,104.04
10/10/1963,334.7,104.3
11/10/1963,338.3,104.83
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
